Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,marker-color
NE 13th Ave,Industrial Outdoor Storage Site,Land,2,,,,Existing,,,Not Disclosed,Industrial,Portland,Airport Way,,,Northeast,Portland,OR,97211-1673,Multnomah,,,,N,1/11/99,"1,500,000",,,,,,Single,01/01/1900,,,,Yes,100-year Floodplain,45.588377,-122.6503291,Oak Harbor Freight Lines,red
9026 NE 13th Ave,,Industrial,3,,,C,Existing,40115,,$10.69 - 13.07 (Est.),Distribution,Portland,Airport Way,,,Northeast,Portland,OR,97211,Multnomah,,,,N,,,100.00,1996,,40115,,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,45.586427,-122.650494,Oak Harbor Freight Lines,red
2440 E Church Ave,,Industrial,2,,,C,Existing,14225,,$5.10 - 6.24 (Est.),Distribution,Fresno,Southeast Fresno,,,Fresno County,Fresno,CA,93706,Fresno,,,,N,1/30/24,"2,800,000",100.00,1951,,14225,0.00,Single,02/18/2009,06019C2110H,06019C,2110H,No,500-year Floodplain,36.713687,-119.782161,Oak Harbor Freight Lines,red
2100 N Dragoon St,,Industrial,1,,,B,Existing,5600,,$9.17 - 11.21 (Est.),Distribution,Tucson,NW Tucson/Oro Valley,,,North,Tucson,AZ,85745,Pima,,,,N,7/8/22,"850,000",100.00,1985,,5600,0.89,Single,06/16/2011,04019C2276L,04019C,2276L,No,100-year and 500-year Floodplain,32.247107,-110.99883,Oak Harbor Freight Lines,red
4115 Fruitvale Ave,,Industrial,2,,,C,Existing,3068,,$9.83 - 12.01 (Est.),Distribution,Bakersfield,Northwest Bakersfield,Voit Real Estate Services,David Fults,Northwest Bakersfield,Bakersfield,CA,93308,Kern,,,,N,2/4/22,,100.00,1980,,3068,4.56,Single,10/21/2021,06029C1825F,06029C,1825F,No,100-year and 500-year Floodplain,35.3971165,-119.0750612,Oak Harbor Freight Lines,red
833 S Maple Ave,,Industrial,2,,,C,Existing,19000,,$11.59 - 14.16 (Est.),Truck Terminal,Los Angeles,Montebello,,,Central Los Angeles,Montebello,CA,90640-5409,Los Angeles,,,,N,,,100.00,1961,,19000,1.26,Single,09/26/2008,06037C1830F,06037C,1830F,No,100-year and 500-year Floodplain,34.000136,-118.122832,Oak Harbor Freight Lines,red
645 N Nola Rd,,Industrial,2,,,B,Existing,13827,,$10.47 - 12.80 (Est.),Truck Terminal,Boise,Meridian,,,Meridian,Meridian,ID,83642,Ada,,,,N,,,100.00,1998,,13827,,Single,06/19/2020,16001C0251J,16001C,0251J,No,100-year and 500-year Floodplain,43.6108,-116.372932,Oak Harbor Freight Lines,red
607 E Penn St,,Industrial,1,,,B,Existing,4000,,$9.12 - 11.15 (Est.),Warehouse,,Washington State Area,,,Washington State,Moses Lake,WA,98837-1806,Grant,,,,N,3/28/22,,100.00,1964,,4000,,Single,02/18/2009,53025C1070C,53025C,1070C,No,100-year and 500-year Floodplain,47.1318151,-119.2684259,Oak Harbor Freight Lines,red
8960 Terabyte Dr,,Industrial,2,,,C,Existing,14460,,$10.40 - 12.71 (Est.),Distribution,Reno,South Reno,,,South Reno,Reno,NV,89521-5932,Washoe,,,,N,4/30/18,"2,976,701",100.00,1999,,14460,,Single,03/16/2009,32031C3253G,32031C,3253G,No,500-year Floodplain,39.4518822,-119.747895,Oak Harbor Freight Lines,red
8970 Terabyte Dr,,Industrial,2,,,C,Existing,9100,,$10.34 - 12.63 (Est.),Distribution,Reno,South Reno,,,South Reno,Reno,NV,89521,Washoe,,,,N,4/30/18,"1,873,299",100.00,1999,,9100,4.23,Single,03/16/2009,32031C3253G,32031C,3253G,No,500-year Floodplain,39.451323,-119.7479943,Oak Harbor Freight Lines,red
Cheyenne Ave,M-2 Zoned Site,Land,3,,,,Existing,,,Not Disclosed,Industrial,Las Vegas,North Las Vegas,,,North Las Vegas,North Las Vegas,NV,89032,Clark,,,,N,10/24/05,"2,672,096",,,,,,,11/16/2011,32003C2160F,32003C,2160F,No,100-year and 500-year Floodplain,36.2178488,-115.1711403,Oak Harbor Freight Lines,red
6450 Poe Ave,Sand Lake Plaza,Office,4,,,A,Existing,141150,7839,$20.00,,Dayton,North Dayton,Crest Commercial Realty,Timothy Albro,North Dayton,Dayton,OH,45414-2600,Montgomery,,,,N,,,100.00,1987,2004,23274,2.13,Multi,01/06/2005,39113C0154E,39113C,0154E,No,100-year and 500-year Floodplain,39.8410945,-84.1885285,Dayton Freight Lines,blue
3551 5th Ave,,Industrial,2,,,C,Existing,15960,,$5.59 - 6.83 (Est.),Truck Terminal,Davenport,East Moline,,,East Moline,East Moline,IL,61244,Rock Island,,,,N,7/24/13,"1,100,000",100.00,,,15960,,Single,02/18/2011,19163C0395F,17161C,0395F,No,100-year and 500-year Floodplain,41.5272485,-90.4037976,Dayton Freight Lines,blue
4606 16th Ave NW,FedEx Fargo,Industrial,2,,,B,Existing,12480,,$8.60 - 10.51 (Est.),Distribution,Fargo,Fargo,,,North Dakota,Fargo,ND,58103-3224,Cass,,,,N,3/11/22,"1,200,000",100.00,2000,,12480,2.80,Single,01/16/2015,38017C0588G,38017C,0588G,No,100-year and 500-year Floodplain,46.9013029,-96.8643264,Dayton Freight Lines,blue
1594 W 130th St,1594 West 130th Street,Land,2,,,,Existing,,,Not Disclosed,Industrial,Cleveland,Medina County,,,Medina County,Brunswick,OH,44212,Medina,,,,N,8/5/22,"2,252,037",,,,,,,08/19/2013,39103C0156E,39103C,0156E,No,100-year and 500-year Floodplain,41.233129,-81.7870994,Dayton Freight Lines,blue
15 Ashland Ct,15 Ashland Ct,Land,2,,,,Existing,,,Not Disclosed,Commercial,Peoria,Outlying Tazewell County,,,Outlying Tazewell County,Morton,IL,61550,Tazewell,,,,N,6/19/24,"699,619",,,,,,,02/17/2017,17179C0201E,17179C,0201E,No,100-year and 500-year Floodplain,40.6248973,-89.4720149,Dayton Freight Lines,blue
1406 Blatt Blvd,,Industrial,2,,,C,Existing,16585,,$6.34 - 6.87 (Est.),Truck Terminal,Columbus,Airport,,,Northeast,Gahanna,OH,43230-6627,Franklin,,,,N,,,100.00,1999,,16585,0.96,Single,01/06/2012,39045C0025G,39049C,0025G,No,100-year and 500-year Floodplain,39.9946686,-82.8307063,Dayton Freight Lines,blue
1215 Broadway St,,Industrial,1,,,C,Existing,3533,,$6.52 - 7.97 (Est.),Warehouse,,,,,,Burlington,IA,52601,Des Moines,,,,N,11/15/12,"50,000",100.00,1978,,3533,,Single,10/21/2021,19057C0266F,19057C,0266F,No,100-year and 500-year Floodplain,40.8098854,-91.1574853,Dayton Freight Lines,blue
103 Cairns Rd,,Industrial,3,,,B,Existing,40995,,$3.58 - 4.28 (Est.),Truck Terminal,Mansfield,Richland County,,,Richland County,Mansfield,OH,44903,Richland,,,,N,6/16/10,"1,925,000",100.00,2006,,40995,0.98,Single,04/04/2011,39139C0142E,39139C,0142E,No,100-year and 500-year Floodplain,40.8047346,-82.5208121,Dayton Freight Lines,blue
1213 E Center St,1213 E Center Street,Retail,3,,,C,Existing,6885,,$10.48 - 12.80 (Est.),Auto Repair,,,,,,Ithaca,MI,48847-1605,Gratiot,,,,N,,,100.00,1994,,6885,0.73,,10/18/2011,26057C0200C,26057C,0200C,No,100-year and 500-year Floodplain,43.2919989,-84.5891128,Dayton Freight Lines,blue
12140 Chandler Dr,Dayton Freight Liners,Industrial,2,,,C,Existing,12000,,$5.99 - 7.32 (Est.),Truck Terminal,Cincinnati,Florence/Richwood,,,Northern Kentucky,Walton,KY,41094-9673,Boone,,,,N,,,100.00,1995,,12000,5.00,Single,08/05/2010,21081C0050A,21015C,0050A,No,100-year and 500-year Floodplain,38.867,-84.633404,Dayton Freight Lines,blue
28360 Clay St,,Industrial,2,,,B,Existing,17850,,$3.53 - 4.31 (Est.),Truck Terminal,Elkhart,Outlying Elkhart County,,,Elkhart County,Elkhart,IN,46517,Elkhart,,,,N,,,100.00,1988,,17850,5.38,Single,08/02/2011,18039C0117D,18039C,0117D,No,100-year and 500-year Floodplain,41.660856,-86.009989,Dayton Freight Lines,blue
8230 Clyde Park Ave SW,Dayton Freight,Industrial,2,,,C,Existing,26174,,$7.00 - 8.56 (Est.),Distribution,Grand Rapids,Byron/Gaines,,,Kent County,Byron Center,MI,49315,Kent,,,,N,,,100.00,2004,,26174,3.02,Single,,,,,No,,42.8146178,-85.6808562,Dayton Freight Lines,blue
423 Commerce St,,Industrial,2,,,C,Existing,7950,,$9.49 - 11.60 (Est.),Truck Terminal,Bowling Green,,,,,Bowling Green,KY,42101,Warren,,,,N,,,100.00,1988,,7950,,Single,05/02/2007,21227C0169E,21227C,0169E,No,100-year and 500-year Floodplain,37.0170727,-86.3875966,Dayton Freight Lines,blue
800 Commerce Parkway Dr S,,Industrial,3,,,C,Existing,141000,,$7.17 - 7.24 (Est.),Truck Terminal,Indianapolis,Johnson County,,,Far South Counties,Greenwood,IN,46143,Johnson,,,,N,,,100.00,2009,,141000,,Single,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.6047402,-86.0596363,Dayton Freight Lines,blue
1899 E Crescentville Rd,,Industrial,2,,,C,Existing,11336,,$7.81 - 9.55 (Est.),Truck Terminal,Cincinnati,Tri-County,"Wooster Motor Ways, Inc.",Dave Funk,Northern Cincinnati,Cincinnati,OH,45246-2036,Hamilton,,,,N,4/4/12,"1,094,000",100.00,1996,,11336,9.70,Multi,10/19/2018,39017C0341F,39061C,0341F,No,100-year and 500-year Floodplain,39.295956,-84.424594,Dayton Freight Lines,blue
2811 E Crescentville Rd,,Industrial,2,,,C,Existing,8774,,$6.75 - 8.25 (Est.),Service,Cincinnati,Tri-County,,,Northern Cincinnati,Cincinnati,OH,45241,Hamilton,,,,N,1/19/16,"700,000",100.00,,,8774,,Single,10/19/2018,39017C0341F,39061C,0341F,No,100-year and 500-year Floodplain,39.295321,-84.424825,Dayton Freight Lines,blue
W Division St,10.6 Acres,Land,2,,,,Existing,,,Not Disclosed,Industrial,Chicago,Joliet/Central Will,,,South Suburban,Lockport,IL,60441,Will,,,,N,2/22/12,"5,200,000",,,,,,,02/15/2019,17197C0134G,17197C,0134G,No,100-year and 500-year Floodplain,41.5762469,-88.1295638,Dayton Freight Lines,blue
18577 Dix-Toledo Hwy,P Jax Transport,Industrial,3,,,B,Existing,41160,,$6.86 - 8.39 (Est.),Truck Terminal,Detroit,Downriver South,"Woodhurst Realty, LLC",Donald Hammel,Downriver,Brownstown,MI,48193-8467,Wayne,,,,N,3/20/14,"3,210,527",100.00,1994,,41160,1.82,Multi,02/02/2012,26163C0411E,26163C,0411E,Yes,100-year Floodplain,42.17457,-83.234977,Dayton Freight Lines,blue
3011 Enloe St,,Industrial,3,,,C,Existing,44727,,$8.40 - 8.49 (Est.),Distribution,Minneapolis,St Croix County,,,St Croix County,Hudson,WI,54016,St  Croix,,,,N,3/11/22,"4,450,000",100.00,,,44727,0.72,Multi,11/16/2011,55093C0025E,55109C,0025E,No,100-year and 500-year Floodplain,44.944739,-92.706755,Dayton Freight Lines,blue
Executive Blvd,Vacant Land,Land,2,,,,Existing,,,Not Disclosed,Industrial,Dayton,Northeast Central Dayton,,,Northeast Central Dayton,Dayton,OH,45424,Montgomery,,,,N,11/23/11,"400,000",,,,,,,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.8706792,-84.1187746,Dayton Freight Lines,blue
6265 Executive Blvd,,Industrial,2,,,C,Existing,18000,,$5.51 - 6.73 (Est.),Warehouse,Dayton,Northeast Cent Dayton,,,Northeast Cent Dayton,Huber Heights,OH,45424-1400,Montgomery,,,,N,,,100.00,1978,,18000,5.56,Single,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.871462,-84.122684,Dayton Freight Lines,blue
6275 Executive Blvd,,Industrial,2,,,B,Existing,15000,,$6.60 - 8.07 (Est.),Warehouse,Dayton,Northeast Cent Dayton,D & C Partnership,,Northeast Cent Dayton,Huber Heights,OH,45424,Montgomery,,,,N,,,100.00,1988,,15000,,Multi,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.872037,-84.121873,Dayton Freight Lines,blue
8251 Expansion Way,,Industrial,1,,,C,Existing,7210,,$6.07 - 7.42 (Est.),Service,Dayton,Northeast Cent Dayton,,,Northeast Cent Dayton,Dayton,OH,45424,Montgomery,,,,N,1/11/13,"530,000",100.00,1998,,7210,2.08,Single,08/02/2011,39109C0295E,39113C,0295E,No,100-year and 500-year Floodplain,39.8753189,-84.0597499,Dayton Freight Lines,blue
2 Fountain Pl,,Industrial,1,,,B,Existing,15852,,$6.29 - 7.68 (Est.),Distribution,,Marion/I-64 & South,FedEx Freight,,Illinois South,Mount Vernon,IL,62864,Jefferson,,,,N,7/18/24,"2,300,000",100.00,,,1,,Single,09/17/2010,17081C0192C,17081C,0192C,No,100-year and 500-year Floodplain,38.2911464,-88.9016208,Dayton Freight Lines,blue
994 Gerdt Ct,,Industrial,2,,,C,Existing,9200,,$7.47 - 9.13 (Est.),Warehouse,Indianapolis,Johnson County,,,Far South Counties,Greenwood,IN,46143,Johnson,,,,N,,,100.00,2008,,9200,1.09,Single,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.604705,-86.0571482,Dayton Freight Lines,blue
200 Graham Rd,20.99 Acres,Land,2,,,,Existing,,,Not Disclosed,Commercial,Indianapolis,Greenwood,,,South County,Greenwood,IN,46143,Johnson,,,,N,10/22/07,,,,,,,,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.6035182,-86.0600677,Dayton Freight Lines,blue
2472 Henry Rd NW,,Industrial,2,,,B,Existing,9700,,$11.63 - 14.21 (Est.),Distribution,Rochester,Rochester,,,Minnesota,Stewartville,MN,55976-4552,Olmsted,,,,N,4/1/21,"1,700,000",100.00,2018,,9700,0.00,Single,04/19/2017,27109C0313E,27109C,0313E,No,100-year and 500-year Floodplain,43.87655,-92.49345,Dayton Freight Lines,blue
32717 Hollingsworth Ave,,Industrial,3,,,C,Existing,44093,,$6.02 - 7.35 (Est.),Truck Terminal,Detroit,W of Van Dyke/Macomb,,,East Area,Warren,MI,48092-3811,Macomb,,,,N,3/18/24,"1,905,194",100.00,1998,,44093,1.36,Single,09/29/2006,26099C0316G,26099C,0316G,No,100-year and 500-year Floodplain,42.533568,-83.036794,Dayton Freight Lines,blue
NW I 69,Vacant Land,Land,2,,,,Existing,,,Not Disclosed,Industrial,,Fort Wayne,,,Indiana North,Markle,IN,46770,Huntington,,,,N,,,,,,,,,06/02/2015,18069C0278D,18069C,0278D,No,100-year and 500-year Floodplain,40.8335763,-85.3521849,Dayton Freight Lines,blue
NWC I-90 And Route 20,NWC I-90 & Rt. 20,Land,2,,,,Existing,,,Not Disclosed,Commercial,Chicago,Far Northwest,,,Northwest,Hampshire,IL,60140,Kane,,,,N,1/24/19,"3,163,500",,,,,,,06/02/2015,17089C0020J,17089C,0020J,No,100-year and 500-year Floodplain,42.1480684,-88.5194229,Dayton Freight Lines,blue
S Industrial Pky,,Land,,,,,Existing,,,Not Disclosed,Industrial,Cleveland,Medina County,,,Medina County,Brunswick,OH,44212,Medina,Gerspacher Real Estate Group,Morgan Faunce,350000,Y,8/5/22,"427,963",,,,,,,08/19/2013,39103C0156E,39103C,0156E,No,100-year and 500-year Floodplain,41.232692,-81.7925853,Dayton Freight Lines,blue
8300 blk Interstate 70 Dr SE,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Columbia,Columbia/Jefferson City,United Country Real Estate,,Missouri North,Columbia,MO,65201,Boone,,,,N,9/26/11,,,,,,,,04/19/2017,29019C0305E,29019C,0305E,No,100-year and 500-year Floodplain,38.9516456,-92.2125337,Dayton Freight Lines,blue
3600 James P Cole Blvd,,Industrial,2,,,C,Existing,8565,,$6.11 - 7.47 (Est.),Warehouse,Flint,Flint,,,Flint,Flint,MI,48505,Genesee,,,,N,1/12/22,,100.00,1989,,8565,,Single,09/25/2009,26049C0191D,26049C,0191D,No,100-year and 500-year Floodplain,43.047913,-83.675363,Dayton Freight Lines,blue
John Weaver Pky,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Elkhart,Outlying Elkhart County,,,Elkhart County,Elkhart,IN,46514,Elkhart,,,,N,3/25/19,"2,128,012",,,,,,,08/02/2011,18039C0109D,18039C,0109D,No,100-year and 500-year Floodplain,41.7179473,-86.0117766,Dayton Freight Lines,blue
John Weaver Pky N,,Land,,,,,Existing,,,Not Disclosed,Commercial,Elkhart,Outlying Elkhart County,,,Elkhart County,Elkhart,IN,46514-1693,Elkhart,,,,N,6/25/21,"529,200",,,,,,,,,,,No,,41.7144888,-86.009695,Dayton Freight Lines,blue
2560 Long Lake Rd,,Industrial,2,,,B,Existing,46000,,$6.24 - 7.62 (Est.),Truck Terminal,Minneapolis,North Central,,,North Central,Roseville,MN,55113,Ramsey,,,,N,7/10/14,"6,600,000",100.00,1974,,46000,0.19,Single,12/16/2015,27003C0425E,27123C,0425E,No,100-year and 500-year Floodplain,45.017287,-93.191434,Dayton Freight Lines,blue
1479 Memphis Junction Rd,,Industrial,1,,,C,Existing,3100,,$9.23 - 11.28 (Est.),Warehouse,Bowling Green,,,,,Bowling Green,KY,42101,Warren,,,,N,4/8/24,"150,000",100.00,1978,,3100,,,05/02/2007,21227C0303E,21227C,0303E,No,100-year and 500-year Floodplain,36.9411682,-86.4877612,Dayton Freight Lines,blue
527 Old Bellwood Rd,,Industrial,2,,,C,Existing,102650,,$5.07 - 6.20 (Est.),Truck Terminal,,Georgia Northwest,"Crown Enterprises, LLC",,Georgia North,Calhoun,GA,30701,Gordon,,,,N,7/2/21,"1,174,000",100.00,1968,,10011,,,10/05/2018,13015C0050H,13129C,0050H,No,100-year and 500-year Floodplain,34.46267,-84.9222453,Dayton Freight Lines,blue
28240 Oregon Rd,,Industrial,2,,,B,Existing,29718,,$4.20 - 5.14 (Est.),Truck Terminal,Toledo,Perrysburg/Northwood,,,Perrysburg/Northwood,Perrysburg,OH,43551,Wood,,,,N,8/15/12,,100.00,2000,,29718,3.10,Single,09/02/2011,39173C0045D,39173C,0045D,No,100-year and 500-year Floodplain,41.561554,-83.536284,Dayton Freight Lines,blue
280 Progress Blvd,,Industrial,2,,,C,Existing,18346,,$4.44 - 5.43 (Est.),Truck Terminal,Akron,Portage County,,,Portage County,Kent,OH,44240,Portage,,,,N,,,100.00,2000,,18346,2.73,Single,04/19/2016,39153C0210F,39153C,0210F,No,100-year and 500-year Floodplain,41.110699,-81.383817,Dayton Freight Lines,blue
2700 Remico St SW,,Industrial,2,,,C,Existing,8650,,$6.22 - 7.60 (Est.),Truck Terminal,Grand Rapids,Southwestern Grand Rapids,,,Kent County,Wyoming,MI,49519,Kent,,,,N,4/7/15,"280,000",100.00,1984,,8650,1.50,Single,,,,,No,,42.9085,-85.732251,Dayton Freight Lines,blue
1850 Sheyenne Loop N,,Industrial,3,,,B,Existing,9600,,$8.76 - 10.70 (Est.),Warehouse,Fargo,Fargo,,,North Dakota,Fargo,ND,58102,Cass,,,,N,9/19/22,"1,355,500",100.00,2019,,9600,0.42,Single,01/16/2015,38017C0588G,38017C,0588G,Yes,100-year Floodplain,46.9032402,-96.8688499,Dayton Freight Lines,blue
524 S State Highway 125,,Industrial,3,,,B,Existing,29500,,$6.13 - 6.65 (Est.),Truck Terminal,Springfield ,Outlying Greene County,"Streams Edge Properties, LLC",,Outlying Greene County,Strafford,MO,65757-8105,Greene,,,,N,,,100.00,2016,,29500,,Single,12/17/2010,29077C0244E,29077C,0244E,No,100-year and 500-year Floodplain,37.2637185,-93.133711,Dayton Freight Lines,blue
State Route 795,Lot A,Land,2,,,,Existing,,,Not Disclosed,Commercial,Toledo,Perrysburg/Northwood,,,Perrysburg/Northwood,Perrysburg,OH,43551,Wood,,,,N,6/27/13,"432,000",,,,,,,09/02/2011,39173C0033D,39173C,0033D,No,100-year and 500-year Floodplain,41.5631323,-83.5343233,Dayton Freight Lines,blue
7125 Strawberry Plains Pike,,Industrial,2,,,C,Existing,11520,,$5.69 - 6.96 (Est.),Truck Terminal,Knoxville,South,,,South,Knoxville,TN,37914,Knox,,,,N,4/13/20,"1,450,000",100.00,1993,,11520,1.74,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,35.9998776,-83.7828277,Dayton Freight Lines,blue
38600 Taylor Pky,,Land,,,,,Existing,,,Not Disclosed,Industrial,Cleveland,Lorain County,,,Lorain County,North Ridgeville,OH,44035,Lorain,,,,N,11/9/21,"2,100,000",,,,,,,01/01/1900,,,,No,100-year and 500-year Floodplain,41.372608,-82.0575815,Dayton Freight Lines,blue
8150 Tyler Blvd,,Industrial,2,,,C,Existing,19865,,$6.66 - 8.14 (Est.),Truck Terminal,Cleveland,Mentor/N Willoughby,,,Northeast,Mentor,OH,44060,Lake,,,,N,8/12/11,"975,000",100.00,1990,,19865,,Single,02/03/2010,39085C0111F,39085C,0111F,No,100-year and 500-year Floodplain,41.6792027,-81.348167,Dayton Freight Lines,blue
5564 Universal Dr,,Industrial,2,,,C,Existing,19285,,$7.20 - 8.79 (Est.),Truck Terminal,Memphis,Southeast,"Dayton Freight Lines, Inc.",Thomas Cronin,Southeast,Memphis,TN,38118-7923,Shelby,,,,N,3/13/15,"1,125,000",100.00,1989,,19285,3.63,Multi,09/28/2007,47157C0445F,47157C,0445F,No,100-year and 500-year Floodplain,35.00103,-89.877829,Dayton Freight Lines,blue
7400 Wall St,Carolina Freight,Industrial,2,,,C,Existing,23748,,$5.07 - 6.19 (Est.),Truck Terminal,Cleveland,Brooklyn Hts,,,South,Valley View,OH,44125-3318,Cuyahoga,,,,N,,,100.00,1967,,23748,2.52,Single,12/03/2010,39035C0194E,39035C,0194E,Yes,100-year Floodplain,41.404909,-81.631376,Dayton Freight Lines,blue
2405 S West St,,Industrial,2,,,C,Existing,24150,,$6.09 - 7.44 (Est.),Warehouse,Indianapolis,White River Pkwy,,,Downtown,Indianapolis,IN,46225-4003,Marion,,,,N,4/21/15,"1,920,000",100.00,1963,,24150,7.50,Multi,01/01/1900,,,,Yes,100-year Floodplain,39.732857,-86.16721,Dayton Freight Lines,blue
241 Altorfer Ln,,Industrial,3,,,C,Existing,16040,,$5.75 - 7.03 (Est.),Warehouse,Peoria,East Peoria,,,East Peoria,East Peoria,IL,61611,Tazewell,,,,N,,,100.00,1977,,16040,,,02/17/2017,17179C0040E,17179C,0040E,Yes,100-year Floodplain,40.6754344,-89.578785,Dayton Freight Lines,blue
1625 Bergstrom Rd,Dayton Freight Oshkosh,Industrial,2,,,,Existing,7976,,$5.63 - 6.88 (Est.),Truck Terminal,Oshkosh-Neenah,Appleton/Oshkosh,,,Wisconsin North,Neenah,WI,54956-9701,Winnebago,,,,N,2/1/22,,100.00,1900,,7976,,Single,07/22/2010,55087C0450D,55139C,0450D,No,500-year Floodplain,44.1434596,-88.4927277,Dayton Freight Lines,blue
1085 Cedar Rd,,Industrial,1,,,C,Existing,6350,,$4.54 - 5.55 (Est.),Truck Terminal,Wausau,,"Crown Enterprises, LLC",,,Mosinee,WI,54455,Marathon,,,,N,10/30/13,"675,000",100.00,,,6350,,Single,07/22/2010,55073C0633F,55073C,0633F,Yes,100-year Floodplain,44.8361117,-89.6607267,Dayton Freight Lines,blue
8206 Clyde Park Ave SW,,Retail,3,,,B,Existing,,,$14.85 - 18.15 (Est.),,Grand Rapids,Byron/Gaines,,,Kent County,Byron Center,MI,49315-9332,Kent,,,,N,,,,,,,,,,,,,No,,42.81508,-85.6809,Dayton Freight Lines,blue
2451 Leestown Rd,,Industrial,2,,,C,Existing,24042,,$9.96 - 12.17 (Est.),Warehouse,Lexington,West Lexington/Fayette,,,West Lexington/Fayette,Lexington,KY,40511-8724,Fayette,,,,N,11/30/17,"3,000,000",100.00,1997,2017,,,,03/03/2014,2100670108E,210067,0108E,No,100-year and 500-year Floodplain,38.08009,-84.54327,Dayton Freight Lines,blue
1000 E Northwest Hwy,,Industrial,2,,,B,Existing,58000,,$6.85 - 8.37 (Est.),Distribution,Chicago,O'Hare,,,O'Hare,Des Plaines,IL,60016-3003,Cook,,,,N,,,100.00,,,55368,,,08/19/2008,17031C0217J,17031C,0217J,No,100-year and 500-year Floodplain,42.0485231,-87.8998965,Dayton Freight Lines,blue
4001 Ralph Ave,,Industrial,2,,,C,Existing,17540,,$6.25 - 6.85 (Est.),,Louisville,W Outlying Jefferson Cnty,,,W Outlying Jefferson Cnty,Louisville,KY,40211-2040,Jefferson,,,,N,,,100.00,1999,,17540,,,02/26/2021,21111C0055F,21111C,0055F,No,500-year Floodplain,38.2125281,-85.835123,Dayton Freight Lines,blue
5655 Willow Creek Dr SW,,Industrial,2,,,C,Existing,15050,,$7.11 - 8.69 (Est.),Warehouse,Cedar Rapids,,,,,Cedar Rapids,IA,52404-4308,Linn,,,,N,,,100.00,1977,,15050,,,07/20/2021,19113C0415E,19113C,0415E,No,100-year and 500-year Floodplain,41.9231456,-91.6896501,Dayton Freight Lines,blue
75 Eisenhower Dr,,Industrial,2,,,C,Existing,7857,,$8.54 - 10.44 (Est.),Distribution,Portland,SW Cumberland County,,,SW Cumberland County,Westbrook,ME,04092,Cumberland,Malone Commercial Brokers,Joseph Malone,,Y,6/10/09,,,1978,,7857,6.36,Single,,,,,No,,43.662394,-70.3713909,A. Duie Pyle,green
