Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,marker-color
95 2nd St,,Industrial,2,,,C,Existing,13975,,$5.72 - 6.99 (Est.),Truck Terminal,Scranton,I-81 Corridor,,,I-81 Corridor,Wilkes Barre,PA,18702,Luzerne,,,,N,2/13/18,"850,000",100.00,1997,,13975,6.51,Single,11/02/2012,42079C0239E,42079C,0239E,No,100-year and 500-year Floodplain,41.2642793,-75.8253716,A. Duie Pyle,green
5815-5817 49th Pl,,Industrial,1,,,C,Existing,7000,,$16.39 - 20.03 (Est.),Warehouse,New York,Central Queens,Michael & Steven Levy Realty,Steven Levy,Queens,Flushing,NY,11378-2114,Queens,,,,N,7/7/22,"4,400,000",100.00,1965,,7000,,Single,09/05/2007,3604970208F,360497,0208F,No,500-year Floodplain,40.718414,-73.919573,A. Duie Pyle,green
66 Ampad Rd,,Industrial,4,,,A,Existing,127140,,$6.62 (Est.),Manufacturing,Springfield ,Hampden County,,,Hampden County,Westfield,MA,01085,Hampden,,,,N,7/1/13,"3,350,000",100.00,1985,,127140,0.27,Single,09/17/2014,25013C0190F,25013C,0190F,No,100-year and 500-year Floodplain,42.1614611,-72.7448481,A. Duie Pyle,green
210 Bartlett St,Bldg C,Industrial,3,,,B,Existing,90000,,$9.27 - 11.33 (Est.),Truck Terminal,Worcester,The Boroughs,Transwestern Real Estate Services,,Worcester,Northborough,MA,01532,Worcester,,,,N,12/7/07,"12,200,000",100.00,2007,,90000,,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,42.3182929,-71.6066154,A. Duie Pyle,green
3609 E Belt Blvd,,Industrial,2,,,C,Existing,16590,,$6.66 - 8.13 (Est.),Truck Terminal,Richmond,Jeff Davis Corridor,,,Southwest,Richmond,VA,23234,Richmond City,,,,N,10/18/21,"2,000,000",100.00,1962,,16590,3.93,Multi,12/18/2012,51041C0155D,510129,0155D,No,100-year and 500-year Floodplain,37.475327,-77.455506,A. Duie Pyle,green
7070 Brookdale Dr,Old Dominion Freight,Industrial,2,,,C,Existing,27978,,$10.47 - 12.79 (Est.),Truck Terminal,Baltimore,Route 1 Corridor,,,Route 1/BWI Area,Elkridge,MD,21075,Howard,,,,N,4/9/13,"2,800,000",100.00,1974,,27978,3.57,Single,11/06/2013,24027C0170D,24027C,0170D,No,500-year Floodplain,39.1769543,-76.7653474,A. Duie Pyle,green
Catasauqua Rd,,Land,2,,,,Existing,,,Not Disclosed,Commercial,Lehigh Valley,Lehigh Valley,,,Lehigh Valley,Allentown,PA,18109,Lehigh,,,,N,1/31/13,"1,385,000",,,,,,,07/16/2014,42095C0243E,42077C,0243E,No,100-year and 500-year Floodplain,40.6377739,-75.4311641,A. Duie Pyle,green
10461 Colonel Ct,Consolidated Freightways Distribution Center,Industrial,2,,,C,Existing,7000,,$11.25 - 13.75 (Est.),Warehouse,Washington,Manassas,,,Manassas/I-66,Manassas,VA,20110-4173,Manassas City,,,,N,12/9/21,"4,200,000",100.00,1990,,7000,12.43,Single,02/06/2008,51061C0375C,51153C,0375C,No,100-year and 500-year Floodplain,38.743016,-77.507091,A. Duie Pyle,green
1000 Corporate Blvd,,Industrial,2,,,C,Existing,27500,,$9.25 - 11.31 (Est.),Truck Terminal,New York,Orange County,,,Orange County,Newburgh,NY,12550-6409,Orange,,,,N,5/20/09,"2,660,000",100.00,1988,,27500,2.98,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,41.511161,-74.0824801,A. Duie Pyle,green
1575 Emerson St,,Industrial,2,,,C,Existing,15590,,$5.79 - 7.08 (Est.),Truck Terminal,Rochester,Greater Rochester,,,Greater Rochester,Rochester,NY,14606,Monroe,,,,N,2/28/24,"7,268,526",100.00,1974,,15590,1.28,Single,08/28/2008,36055C0191G,36055C,0191G,No,100-year and 500-year Floodplain,43.1730183,-77.6734489,A. Duie Pyle,green
206-216 Garfield Ave,,Industrial,2,,,C,Existing,27158,,$7.08 - 8.65 (Est.),Warehouse,Philadelphia,Chester,J. Loew & Associates,,Suburban Philadelphia,West Chester,PA,19380-4512,Chester,,,,N,,,100.00,1963,,27158,1.66,Multi,09/29/2017,42029C0210G,42029C,0210G,Yes,100-year Floodplain,39.9683147,-75.594194,A. Duie Pyle,green
30 Goya Dr,B,Industrial,2,,,B,Existing,41300,,$7.56 - 8.57 (Est.),Truck Terminal,Worcester,Outlying Worcester,NAI Glickman Kovago & Jacobs,Jim Glickman,Worcester,Webster,MA,01570,Worcester,,,,N,11/22/21,"14,069,523",100.00,,,41300,,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,42.0773023,-71.8560941,A. Duie Pyle,green
30 Goya Dr,A- Fleet Maintenance Building,Industrial,2,,,B,Existing,12565,,$7.16 - 8.76 (Est.),Service,Worcester,Outlying Worcester,NAI Glickman Kovago & Jacobs,Jim Glickman,Worcester,Webster,MA,01570,Worcester,,,,N,11/22/21,"4,280,477",100.00,,,12565,,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,42.0776076,-71.8568806,A. Duie Pyle,green
4901 Grand Ave,,Retail,2,,,B,Existing,4000,,$28.82 - 35.23 (Est.),Storefront,New York,Central Queens,DY Realty Group,Jean Liu,Queens,Maspeth,NY,11378,Queens,,,,N,9/30/22,"5,900,000",100.00,1960,,4000,1.75,Single,09/05/2007,3604970208F,360497,0208F,No,500-year Floodplain,40.717687,-73.919166,A. Duie Pyle,green
6351 S Hanover Rd,,Industrial,3,,,B,Existing,35720,35720,$10.18 - 12.44 (Est.),Truck Terminal,Baltimore,Rt 1/BWI Howard,,,Route 1/BWI Area,Elkridge,MD,21075,Howard,,,,N,10/10/18,,100.00,1978,2005,17860,4.87,Single,11/06/2013,24027C0180D,24027C,0180D,Yes,100-year Floodplain,39.1971943,-76.7308736,A. Duie Pyle,green
2280 Hoover Ave,,Industrial,2,,,B,Existing,27942,,$7.34 - 8.97 (Est.),Truck Terminal,Lehigh Valley,Lehigh Valley,,,Lehigh Valley,Allentown,PA,18109,Lehigh,,,,N,5/20/09,"3,000,000",100.00,1966,,27942,5.01,Single,07/16/2014,42095C0243E,42077C,0243E,No,100-year and 500-year Floodplain,40.637989,-75.432523,A. Duie Pyle,green
6051 S Hulen St,Rise Spring Pointe,Multi-Family,3,,,B,Existing,234747,,Not Disclosed,Apartments,Dallas-Fort Worth,Wedgwood,,,Southwest Fort Worth,Fort Worth,TX,76132,Tarrant,,,,N,3/11/24,,,1984,2000,117373,2.07,,09/25/2009,48439C0295K,48439C,0295K,No,100-year and 500-year Floodplain,32.6610018,-97.3997762,A. Duie Pyle,green
130 W Kings Hwy,,Industrial,1,,,C,Existing,2414,,$10.02 - 12.24 (Est.),Truck Terminal,Philadelphia,Chester,,,Suburban Philadelphia,Coatesville,PA,19320-1743,Chester,,,,N,11/30/07,"694,622",100.00,1969,,2414,,Multi,09/29/2017,42029C0135G,42029C,0135G,Yes,100-year Floodplain,40.0036368,-75.8248222,A. Duie Pyle,green
100 S Limestone Rd,,Industrial,2,,,C,Existing,568400,,$10.29 - 12.57 (Est.),Warehouse,Philadelphia,Chester,"A. Duie Pyle, Inc.",,Suburban Philadelphia,Parkesburg,PA,19365-1347,Chester,,,,N,9/28/99,"6,600,000",100.00,1965,,568400,0.61,Single,09/29/2017,42029C0185G,42029C,0185G,No,100-year and 500-year Floodplain,39.9560187,-75.9298064,A. Duie Pyle,green
4549 Lower Valley Rd,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Philadelphia,Outer Chester County,,,Suburban Philadelphia,Parkesburg,PA,19365-1631,Chester,,,,N,,,,,,,,,09/29/2017,42029C0180G,42029C,0180G,No,100-year and 500-year Floodplain,39.95261,-75.94466,A. Duie Pyle,green
3622 Mia Brae Dr,"A Duie Pyle, Inc",Industrial,3,,,C,Existing,45371,,$5.77 - 7.05 (Est.),Truck Terminal,York,York County,,,York/Hanover,York,PA,17406-7936,York,,,,N,,,100.00,2001,,45371,,Single,12/16/2015,42133C0211F,42133C,0211F,No,100-year and 500-year Floodplain,40.030549,-76.731104,A. Duie Pyle,green
12248 Molly Pitcher Hwy,,Industrial,3,,,B,Existing,60000,,$4.88 - 5.96 (Est.),,Chambersburg-Waynesboro,Chambersburg/Waynesboro,,,Chambersburg/Waynesboro,Greencastle,PA,17225,Franklin,,,,N,,,100.00,2023,,60000,,,01/18/2012,42055C0440E,42055C,0440E,Yes,100-year Floodplain,39.7682792,-77.7239987,A. Duie Pyle,green
1066 Old Bristol Pike,,Industrial,2,,,C,Existing,8680,,$8.52 - 9.50 (Est.),Warehouse,Philadelphia,Bucks,,,Suburban Philadelphia,Morrisville,PA,19067,Bucks,,,,N,2/28/08,"800,000",100.00,1973,,8680,3.46,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,40.179009,-74.790756,A. Duie Pyle,green
58-38 Page Pl,Weeks-Lerman Building,Industrial,3,,,B,Existing,92000,,$16.39 - 20.03 (Est.),Warehouse,New York,Central Queens,,,Queens,Maspeth,NY,11378-2235,Queens,,,,N,12/22/21,"45,750,000",100.00,1970,1996,92000,5.00,Single,09/05/2007,3604970206F,360497,0206F,No,500-year Floodplain,40.7197685,-73.9181401,A. Duie Pyle,green
5860 Page Pl,,Industrial,2,,,C,Existing,30215,,$16.39 - 20.03 (Est.),Truck Terminal,New York,Central Queens,,,Queens,Maspeth,NY,11378-2235,Queens,,,,N,5/15/09,"10,215,000",100.00,1962,,15107,4.10,Single,09/05/2007,3604970208F,360497,0208F,No,500-year Floodplain,40.7186196,-73.9183997,A. Duie Pyle,green
45 E Park Dr,,Industrial,3,,,B,Existing,142800,,$8.97 - 10.97 (Est.),Warehouse,Philadelphia,Burlington,,,Southern New Jersey,Westampton,NJ,08060,Burlington,,,,N,10/9/14,"9,700,000",100.00,,,142800,,Single,12/21/2017,34005C0138F,34005C,0138F,Yes,100-year Floodplain,40.0018438,-74.8579701,A. Duie Pyle,green
204 Quigley Blvd,,Industrial,3,,,C,Existing,50000,,$6.78 - 8.29 (Est.),Warehouse,Philadelphia,New Castle County,,,Delaware,New Castle,DE,19720-4106,New Castle,,,,N,,,100.00,1982,,50000,0.70,Single,01/22/2020,10003C0161L,10003C,0161L,Yes,100-year Floodplain,39.658199,-75.602156,A. Duie Pyle,green
555 Route 22,,Industrial,2,,,B,Existing,501736,,$13.16 - 16.09 (Est.),Manufacturing,Northern New Jersey,Somerset,,,Somerset,Bridgewater,NJ,08876,Somerset,,,,N,2/15/24,,100.00,,,250868,0.07,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,40.5895594,-74.6345488,A. Duie Pyle,green
Airport Rd,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Lehigh Valley,Lehigh Valley,,,Lehigh Valley,Allentown,PA,18109,Lehigh,,,,N,11/30/21,"10,125,000",,,,,,,07/16/2004,42077C0164F,42077C,0164F,No,100-year and 500-year Floodplain,40.6320522,-75.4432725,A. Duie Pyle,green
199 Krupp Dr,,Industrial,2,,,B,Existing,7000,,$9.48 - 11.59 (Est.),Truck Terminal,Burlington,Vermont North Area,,,Vermont,Williston,VT,05495,Chittenden,,,,N,2/1/24,"2,945,716",100.00,,,7000,3.86,Single,07/18/2011,50007C0259D,50007C,0259D,No,100-year and 500-year Floodplain,44.449213,-73.1299429,A. Duie Pyle,green
3111 McCain Ave,,Industrial,1,,,C,Existing,8061,,$4.85 - 5.72 (Est.),Warehouse,Erie,Greater Erie,,,Greater Erie,Erie,PA,16510,Erie,,,,N,2/28/24,"3,137,717",100.00,1978,,8061,,Single,02/19/2014,42049C0207D,42049C,0207D,No,100-year and 500-year Floodplain,42.124285,-80.025017,A. Duie Pyle,green
1059 Old Route 22,,Industrial,1,,,C,Existing,6356,,$8.07 (Est.),Truck Terminal,Altoona,,,,,Duncansville,PA,16635,Blair,,,,N,6/9/09,,100.00,,,6356,4.20,Single,03/02/2012,42013C0237D,42013C,0237D,Yes,100-year Floodplain,40.4196897,-78.4571759,A. Duie Pyle,green
4400 River Rd,,Flex,3,,,B,Existing,48681,,$7.05 - 8.62 (Est.),,Buffalo,North,,,North,Tonawanda,NY,14150-6510,Erie,,,,N,,,100.00,1968,,48681,,Multi,06/16/2021,36029C0181J,36029C,0181J,Yes,100-year Floodplain,42.9934653,-78.9355639,A. Duie Pyle,green
540 Route 22,,Land,,,,,Existing,,,Not Disclosed,Commercial,Northern New Jersey,Route 22 West,,,Somerset/I-78,Bridgewater,NJ,08807-2405,Somerset,,,,N,2/15/24,,,,,,,,01/01/1900,,,,No,100-year and 500-year Floodplain,40.5894064,-74.6415859,A. Duie Pyle,green
555 Route 22,,Office,2,,,C,Existing,78758,,$23.75 - 29.02 (Est.),,Northern New Jersey,Route 22 West,,,Somerset/I-78,Bridgewater,NJ,08807,Somerset,,,,N,2/15/24,,100.00,,,39379,,,01/01/1900,,,,No,100-year and 500-year Floodplain,40.5901851,-74.6333,A. Duie Pyle,green
555 Route 22,,Office,2,,,C,Existing,15000,,$24.29 - 29.68 (Est.),,Northern New Jersey,Route 22 West,,,Somerset/I-78,Bridgewater,NJ,08807,Somerset,,,,N,2/15/24,,100.00,,,15000,,,01/01/1900,,,,No,100-year and 500-year Floodplain,40.5878973,-74.6333713,A. Duie Pyle,green
555 Route 22,,Office,2,,,C,Existing,18977,,$24.69 - 30.18 (Est.),,Northern New Jersey,Route 22 West,,,Somerset/I-78,Bridgewater,NJ,08807,Somerset,,,,N,2/15/24,,100.00,,,9488,,,01/01/1900,,,,No,100-year and 500-year Floodplain,40.5907386,-74.6383923,A. Duie Pyle,green
555 Route 22,,Office,2,,,C,Existing,140000,,$24.61 - 30.08 (Est.),,Northern New Jersey,Route 22 West,,,Somerset/I-78,Bridgewater,NJ,08807,Somerset,,,,N,2/15/24,,100.00,,,12727,,,01/01/1900,,,,No,100-year and 500-year Floodplain,40.5905574,-74.6363887,A. Duie Pyle,green
6399 Saltwell Rd,,Industrial,2,,,C,Existing,9398,,$8.19 - 10.01 (Est.),,,West Virginia North Area,,,West Virginia,Bridgeport,WV,26330-7165,Harrison,,,,N,2/28/24,"5,195,410",100.00,1980,,9398,,Single,10/02/2012,54033C0176D,54033C,0176D,No,100-year and 500-year Floodplain,39.3442031,-80.2270385,A. Duie Pyle,green
210 Servistar Industrial Way,,Industrial,4,,,A,Existing,242152,,$6.01 - 7.35 (Est.),Warehouse,Springfield ,Hampden County,,,Hampden County,Westfield,MA,01085-5605,Hampden,,,,N,,,100.00,2009,,242152,,Single,09/17/2014,25013C0190F,25013C,0190F,No,100-year and 500-year Floodplain,42.1553531,-72.7428253,A. Duie Pyle,green
475 Terminal Rd,,Industrial,1,,,C,Existing,12891,,$7.46 - 7.89 (Est.),,Harrisburg,Harrisburg Area West,,,Harrisburg/Carlisle,Camp Hill,PA,17011-5725,Cumberland,,,,N,2/28/24,"13,798,347",100.00,1980,,12891,,Single,03/16/2009,42041C0277E,42041C,0277E,No,100-year and 500-year Floodplain,40.2284588,-76.9468541,A. Duie Pyle,green
650 Westtown Rd,,Industrial,3,,,C,Existing,220716,,$8.03 - 9.60 (Est.),Truck Terminal,Philadelphia,Chester,,,Suburban Philadelphia,West Chester,PA,19382-4900,Chester,,,,N,,,100.00,,,220716,,Single,09/29/2017,42029C0210G,42029C,0210G,Yes,100-year Floodplain,39.9577523,-75.5868676,A. Duie Pyle,green
102 Bennington St,,Industrial,2,,,C,Existing,23080,23080,$6.95 - 8.49 (Est.),Truck Terminal,Houston,North Outer Loop,,,North Corridor,Houston,TX,77022-4816,Harris,,,,N,3/22/24,,0.00,1959,,23080,,Single,06/18/2007,48201C0680L,48201C,0680L,No,500-year Floodplain,29.820896,-95.374449,Southeastern Freight Lines,purple
710 Mauldin Rd,,Industrial,2,,,C,Existing,50815,35550,$6.18 - 7.56 (Est.),Truck Terminal,Greenville,I-85 South/Donaldson,"Piedmont Properties of the Carolinas, Inc.",Christian Samartino,Greenville,Greenville,SC,29607,Greenville,,,,N,9/1/22,"4,700,000",30.04,1990,,50815,7.40,Multi,08/18/2014,45045C0411E,45045C,0411E,No,100-year and 500-year Floodplain,34.7912511,-82.3530893,Southeastern Freight Lines,purple
3500 N McColl Rd,,Industrial,2,,,,Existing,25000,25000,$6.78 - 8.28 (Est.),,McAllen,Greater McAllen,,,Greater McAllen,McAllen,TX,78501-5533,Hidalgo,Burr & Temkin,Jon Dandurand,,Y,,,0.00,1980,,25000,0.00,Single,,,,,No,,26.2331342,-98.2062109,Southeastern Freight Lines,purple
11001 NW 138th St,,Industrial,2,,,B,Existing,71412,56512,$2.66,Truck Terminal,Miami,Medley,,,Medley,Medley,FL,33178,Miami/Dade,,,,N,5/28/09,"9,650,000",100.00,1983,,64488,0.28,Multi,09/11/2009,12086C0095L,12086C,0095L,Yes,100-year Floodplain,25.8967787,-80.3836329,Southeastern Freight Lines,purple
933 SW 12th Ave,Southeastern Freight Lines,Industrial,3,,,B,Existing,40236,,$14.40 - 17.60 (Est.),Truck Terminal,Fort Lauderdale,Pompano Beach,,,Pompano Beach,Pompano Beach,FL,33069,Broward,,,,N,,,100.00,2006,,40236,4.27,Single,08/18/2014,12011C0359H,12011C,0359H,Yes,100-year Floodplain,26.2173529,-80.1417596,Southeastern Freight Lines,purple
941 SW 12th Ave,Office Building,Office,3,,,B,Existing,8800,,$25.44 - 31.09 (Est.),,Fort Lauderdale,Pompano Beach,CBRE,Tony Hoover,Pompano Beach,Pompano Beach,FL,33069-4610,Broward,,,,N,,,100.00,1967,,8800,,,08/18/2014,12011C0359H,12011C,0359H,Yes,100-year Floodplain,26.217925,-80.144613,Southeastern Freight Lines,purple
941 SW 12th Ave,Warehouse,Industrial,2,,,C,Existing,15000,,$3.93 - 4.80 (Est.),Manufacturing,Fort Lauderdale,Pompano Beach,CBRE,Tony Hoover,Pompano Beach,Pompano Beach,FL,33069,Broward,,,,N,7/28/11,"3,200,000",100.00,1967,,15000,2.75,Single,08/18/2014,12011C0359H,12011C,0359H,Yes,100-year Floodplain,26.217895,-80.146254,Southeastern Freight Lines,purple
7075 W 12th St,USF Dugan,Industrial,2,,,C,Existing,10000,,$8.51 - 10.40 (Est.),Truck Terminal,Jacksonville,West Side,,,West Side,Jacksonville,FL,32220-2858,Duval,,,,N,7/27/07,"850,000",100.00,1980,,10000,1.00,Multi,06/03/2013,12031C0332H,12031C,0332H,No,100-year and 500-year Floodplain,30.35071,-81.764041,Southeastern Freight Lines,purple
4812 SE 22nd Ave,,Industrial,3,,,C,Existing,8400,,$0.57 - 0.70 (Est.),Truck Terminal,Amarillo,Amarillo,Gaut Whittenburg Emerson; Commercial Real Estate,Ben Whittenburg,Texas North,Amarillo,TX,79103-6210,Potter,,,,N,7/24/20,,100.00,1974,,8400,0.00,,06/04/2010,48375C0533C,48375C,0533C,No,100-year and 500-year Floodplain,35.18976,-101.78185,Southeastern Freight Lines,purple
2800 N 23rd St,,Industrial,2,,,C,Existing,8802,,$10.16 - 12.42 (Est.),Distribution,Wilmington,Airport,,,Airport,Wilmington,NC,28401,New Hanover,,,,N,,,100.00,1968,,8802,3.41,Single,08/28/2018,3720312900K,37129C,3129K,No,100-year and 500-year Floodplain,34.2715181,-77.9242616,Southeastern Freight Lines,purple
5400 SW 29th St,,Industrial,2,,,C,Existing,22420,,$8.08 - 9.88 (Est.),Truck Terminal,Oklahoma City,Southwest,,,Oklahoma County,Oklahoma City,OK,73179,Oklahoma,,,,N,7/27/09,"2,100,000",100.00,1971,,22420,5.35,Single,12/18/2009,40109C0290H,40109C,0290H,No,100-year and 500-year Floodplain,35.434041,-97.612771,Southeastern Freight Lines,purple
11514 E 43rd St N,Lot 1 Blk 1-GDII,Land,2,,,,Existing,,,Not Disclosed,Industrial,Tulsa,Northeast,,,Northeast,Tulsa,OK,74116,Tulsa,,,,N,8/21/13,"1,734,500",,,,,,,10/16/2012,40143C0253L,40143C,0253L,No,100-year and 500-year Floodplain,36.2148922,-95.8477984,Southeastern Freight Lines,purple
5875 NW 72nd Ave,,Industrial,3,,,C,Existing,41764,,$16.65 - 20.35 (Est.),Warehouse,Miami,Miami Airport East,,,Miami Airport,Miami,FL,33166-3733,Miami/Dade,,,,N,,,100.00,1970,,41764,3.00,Single,09/11/2009,12086C0283L,12086C,0283L,Yes,100-year Floodplain,25.827178,-80.312466,Southeastern Freight Lines,purple
6095 NW 72nd Ave,,Land,2,,,,Existing,,,Not Disclosed,Commercial,Miami,Miami Airport,,,Miami Airport,Miami,FL,33166,Miami/Dade,,,,N,,,,,,,,,09/11/2009,12086C0279L,12086C,0279L,No,100-year and 500-year Floodplain,25.8284877,-80.3123295,Southeastern Freight Lines,purple
6095 NW 72nd Ave,,Flex,2,,,C,Existing,13000,,$18.50 - 22.61 (Est.),Showroom,Miami,Miami Airport East,JLL,Matt Maciag,Miami Airport,Miami,FL,33166-3737,Miami/Dade,,,,N,5/31/17,"8,450,000",100.00,1968,,7100,4.29,Multi,09/11/2009,12086C0279L,12086C,0279L,No,100-year and 500-year Floodplain,25.8287256,-80.3132227,Southeastern Freight Lines,purple
10001 US Highway 290 E,,Industrial,4,,,A,Existing,66000,,$11.37 - 13.90 (Est.),,Austin,East,,,East,Austin,TX,78724,Travis,,,,N,,,100.00,2023,,66000,0.53,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,30.3320988,-97.59266,Southeastern Freight Lines,purple
14549 E Admiral Pl,,Industrial,2,,,C,Existing,22208,,$7.05 - 8.62 (Est.),Truck Terminal,Tulsa,East Tulsa,,,East Tulsa,Tulsa,OK,74116,Tulsa,,,,N,9/11/24,"4,750,000",100.00,1990,,22208,1.17,Single,09/30/2016,40131C0350J,40143C,0350J,No,100-year and 500-year Floodplain,36.161334,-95.813031,Southeastern Freight Lines,purple
101 Alpha Blvd,,Industrial,2,,,C,Existing,48450,,$5.55 - 6.79 (Est.),Warehouse,New Orleans,St Charles Parish,Beau Box Commercial Real Estate,Jordan Johnson,St Charles Parish,Destrehan,LA,70047-5211,St Charles,,,,N,9/13/24,"1,131,566",100.00,1985,,48450,0.48,Single,,,,,No,,29.94565,-90.3603499,Southeastern Freight Lines,purple
4363 S Alston Ave,,Industrial,3,,,B,Existing,67000,,$11.07 - 11.51 (Est.),Truck Terminal,Durham,Research Triangle,,,Research Triangle,Durham,NC,27713-2221,Durham,,,,N,,,100.00,2013,,64686,0.01,Single,10/19/2018,3720073800K,37063C,0738K,Yes,100-year Floodplain,35.9065463,-78.8855697,Southeastern Freight Lines,purple
1030 Amble Dr,,Office,1,,,C,Existing,1488,,$19.83 - 24.23 (Est.),,Charlotte,Plaza Midwood/NoDa,,,East Charlotte,Charlotte,NC,28206,Mecklenburg,,,,N,,,100.00,1980,,1488,,Single,02/19/2014,3710456500K,37119C,4565K,No,100-year and 500-year Floodplain,35.2694665,-80.8064546,Southeastern Freight Lines,purple
1200 Amble Dr,,Industrial,3,,,C,Existing,44062,,$9.69 - 11.85 (Est.),Truck Terminal,Charlotte,Sugar Creek,,,North,Charlotte,NC,28206-1306,Mecklenburg,,,,N,6/4/12,"1,952,000",100.00,1968,,44062,3.00,Single,02/19/2014,3710456500K,37119C,4565K,No,100-year and 500-year Floodplain,35.272025,-80.806225,Southeastern Freight Lines,purple
1238 Amble Dr,,Industrial,2,,,C,Existing,29470,,$6.52 - 7.96 (Est.),Warehouse,Charlotte,Sugar Creek,,,North,Charlotte,NC,28206-1329,Mecklenburg,,,,N,10/29/20,"3,000,000",100.00,1986,,29470,3.75,Multi,02/19/2014,3710456500K,37119C,4565K,No,100-year and 500-year Floodplain,35.271094,-80.808182,Southeastern Freight Lines,purple
201 Avenue P,Southeastern Freight Lines,Industrial,2,,,B,Existing,50107,,$14.84 - 18.13 (Est.),Truck Terminal,Palm Beach,Austin Park/Hill/53rd,,,Austin Park/Hill/53rd,Riviera Beach,FL,33404,Palm Beach,,,,N,,,100.00,2007,,50107,2.39,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,26.765856,-80.076959,Southeastern Freight Lines,purple
Bear Ln,,Land,2,,,,Existing,,,Not Disclosed,Industrial,Corpus Christi,Southwest,,,Southwest,Corpus Christi,TX,78405,Nueces,,,,N,7/13/21,,,,,,,,,,,,No,,27.7616655,-97.4728327,Southeastern Freight Lines,purple
1813 Blue Clay Rd,,Industrial,2,,,C,Existing,4858,,$9.93 - 12.13 (Est.),Warehouse,Wilmington,Airport,,,Airport,Wilmington,NC,28405-8058,New Hanover,,,,N,,,100.00,1974,,4858,2.47,Single,08/28/2018,3720312900K,37129C,3129K,No,100-year and 500-year Floodplain,34.2710105,-77.9224832,Southeastern Freight Lines,purple
00 Brown Farm Rd,,Land,,,,,Existing,,,Not Disclosed,Industrial,Atlanta,Bartow County,,,Northwest Atlanta,Cartersville,GA,30120,Bartow,,,,N,12/14/22,"12,000,000",,,,,,,10/05/2018,13015C0263H,13015C,0263H,Yes,100-year Floodplain,34.1328543,-84.8618804,Southeastern Freight Lines,purple
329 Brown Farm Rd,Brown Farm Logistics Center,Land,2,,,,Existing,,,Not Disclosed,Industrial,Atlanta,Bartow County,,,Northwest Atlanta,Cartersville,GA,30120,Bartow,,,,N,10/31/22,"7,250,000",,,,,,,10/05/2018,13015C0263H,13015C,0263H,Yes,100-year Floodplain,34.1325613,-84.8590802,Southeastern Freight Lines,purple
1090 Burgundy Dr,,Industrial,2,,,C,Existing,9432,,$7.57 - 9.26 (Est.),Truck Terminal,El Paso,East,,,East,El Paso,TX,79907,El Paso,,,,N,,,100.00,2007,,9432,,Single,02/16/2006,4802140049C,480214,0049C,No,100-year and 500-year Floodplain,31.7034855,-106.2952944,Southeastern Freight Lines,purple
1140 Business Park Rd,,Industrial,2,,,C,Existing,29454,,$7.25 - 8.86 (Est.),Truck Terminal,Charleston,Outlying Berkeley County,,,Outlying Berkeley County,Summerville,SC,29483-7425,Berkeley,,,,N,,,100.00,2006,,29454,0.00,Single,12/07/2018,45015C0555E,45015C,0555E,No,100-year and 500-year Floodplain,33.0728163,-80.1974296,Southeastern Freight Lines,purple
