Location,State,Address,Service Provider,lon,lat
Fort Lauderdale,FL,"890 SW 21st Avenue Ft. Lauderdale, FL 33312",CSX,-80.16982633093308,26.109306337577294
Tampa,FL,"504 North 34th Street Tampa, FL 33605",CSX,-82.42449243562,27.951024145859094
Sanford,FL,"2591 West 5th Street Sanford, FL 32771",CSX,-81.29360100000117,28.807347738437755
Jacksonville,FL,"3796 Warrington Street Jacksonville, FL 32254",CSX,-81.71906052413175,30.326766759757547
Savannah,GA,"2351 Tremont Road Savannah, GA 31405",CSX,-81.14060897056714,32.06939951420216
Charleston,SC,"1990 Tuxbury Lane North Charleston, SC 29405",CSX,-79.95386026938806,32.83539839171107
Montgomery,AL,"2057 Bell Street Montgomery, AL 36104",CSX,-86.3442302711644,32.37319195947225
New Orleans,LA,"7801 Almonaster Ave. New Orleans, LA 70126",CSX,-89.99527721051547,30.00945134689954
Memphis,TN,"1400 Warford Street Memphis, TN 38108",CSX,-89.96138589846059,35.17049011995758
North Haven,CT,"110 Universal Drive North Haven, CT 06473",CSX,-72.87346747613195,41.34340631697643
Wilmington,DE,"1205 Centerville Road Wilmington, DE 19808",CSX,-75.61600429767053,39.73136581027913
Tampa Port,FL,"2151 Gatx Drive Tampa, FL 33605",CSX,-82.43270845454106,27.91673673867325
Atlanta Tilford,GA,"1592 Marietta Blvd NW Atlanta, GA 30318",CSX,-84.43548475027745,33.79807094007582
Atlanta,GA,"1000 Chattahoochee Avenue N.W. Atlanta, GA 30318",CSX,-84.42024372883543,33.799081972225935
Augusta,GA,"1765 Essie McIntyre Boulevard Augusta, GA 30904",CSX,-82.0032528290308,33.45852128510421
Dalton,GA,"107 McFarland Road Dalton, GA 30720",CSX,-84.96504348692582,34.73010696238737
East Chicago,IN,"1401 West 145th Street East Chicago, IN 46312",CSX,-87.48968966672106,41.631772206095576
Indianapolis,IN,"855 South Emerson Avenue Indianapolis, IN 46203",CSX,-86.08233072461462,39.755083352419774
Louisville,KY,"7550 Grade Lane Louisville, KY 40219",CSX,-85.73870702006573,38.13941114311743
New Orleans,LA,"7801 Almonaster Ave. New Orleans, LA 70126",CSX,-89.99532490483047,30.00937831255314
Maine,ME,"20 Rigby Road South Portland, Maine 04106",CSX,-70.29484491951636,43.62664339219364
Maryland,MD,"1525 Andre Street Baltimore, MD 21230",CSX,-76.59152356443136,39.26730178238057
Westborough,MA,"19 Walkup Drive Westborough, MA 01581",CSX,-71.5789312711629,42.27147846357437
Detroit Central,MI,"177 South Rosa Parks Boulevard Detroit, MI 48216",CSX,-83.11483101482571,42.35897961997949
Grand Rapids,MI,"945 Freeman Avenue S.W. Grand Rapids, MI 49503",CSX,-85.70861928012408,42.94351368334512
Elizabeth,NJ,"454 York Street Elizabeth, NJ 07201",CSX,-74.18678145767238,40.66149354481166
Albany,NY,"1 Exchange Street Albany, NY 12205",CSX,-73.77882802572954,42.683190283322745
Buffalo,NY,"1254 William Street Buffalo, NY 14206",CSX,-78.8248736202126,42.88591710593329
Syracuse,NY,"200 Welch Street East Syracuse, NY 13057",CSX,-76.06901426915292,43.062665943005186
Charlotte West,NC,"6816 CSX Way Charlotte, NC 28214",CSX,-80.92260874813437,35.274003989473684
Charlotte East,NC,"601 North Hoskins Road Charlotte, NC 28216",CSX,-80.87868800000052,35.273311920053715
Raleigh,NC,"1090 Capital Boulevard Raleigh, NC 27603",CSX,-78.63971474771441,35.795510501457414
Cincinnati,OH,"3601 Geringer Street Cincinnati, OH 45223",CSX,-84.54464645767142,39.14681941494143
Cleveland Central,OH,"2700 West 3rd Street Cleveland, OH 44113",CSX,-81.6750967038751,41.476948936044295
Cleveland East,OH,"610 East 152nd Street Cleveland, OH 44110",CSX,-81.57699899999923,41.56309567619061
Columbus,OH,"3100 Lockbourne Road Columbus, OH 43207",CSX,-82.96558755987401,39.89447086586938
Toledo,OH,"1601 Miami Street Toledo, OH 43605",CSX,-83.53212997248866,41.621886896846206
Butler,PA,"137 Center Avenue Butler, PA 16001",CSX,-79.89142312879059,40.85659669863719
Philadelphia,PA,"3600 Moore Street Philadelphia, PA 19145",CSX,-75.20194469236652,39.932122957656645
Pittsburgh,PA,"200 Courtland Street Pittsburgh, PA 15207",CSX,-79.9462476644309,40.40449438527472
South Carolina,SC,"1990 Tuxbury Lane North Charleston, SC 29405",CSX,-79.95387899627649,32.83538640030653
Greenville,SC,"130 Willard Street Greenville, SC 29601",CSX,-82.4177456716096,34.8559168382389
Chattanooga,TN,"520 West 26th Street Chattanooga, TN 37408",CSX,-85.31896277760808,35.027651406246704
Knoxville,TN,"2200 Volunteer Boulevard Knoxville, TN 37916",CSX,-83.93375904716308,35.94750347639753
Nashville,TN,"426 Chestnut Street Nashville, TN 37203",CSX,-86.76885849036896,36.14417133403575
Richmond,VA,"2300 West Laburnum Avenue Richmond, VA 23223",CSX,-77.39619812603038,37.57767809431948
Fairmont,WV,"900 Washington Street Fairmont, WV 26554",CSX,-80.12677377389025,39.48713424832354