Location,State,Address,Service Provider,lon,lat
Louisville,KY,"4913 Heller St. Louisville, KY 40218",NS,-85.65656321,38.1818867
Atlanta,GA,"1600 Marietta Road NW, Gate 6, Atlanta, GA 30318",NS,-84.43940854,33.79429554
Austell,GA,"6000 Dr. Luke Glenn Garrett, Jr. Memorial Highway Austell, GA 30106",NS,-84.65543227,33.82345928
Ayer,MA,"133 Barnum Road, Ayer, MA 01434",NS,-71.591108,42.54327524
Bethleham,PA,"2400 Commerce Center Blvd, Bethlehem, PA 18015",NS,-75.33424785,40.60357299
Albany,NY,"50 Route 67, Mechanicville, NY 12118",NS,-73.7058333,42.91410357
Buffalo,NY,"500 Bison Parkway, Buffalo, NY 14227-1069",NS,-78.78349,42.89358207
Chicago-47th,IL,"361 West 47th Street, Chicago, IL 60609",NS,-87.636917,41.80534367
Chicago-63rd,IL,"169 East 63rd, Chicago, IL 60637",NS,-87.62178927,41.77791167
Chicago Calumet,IL,"2040 East 106th Street, Chicago, IL 60617",NS,-87.56807027,41.69718268
Cincinnati,OH,"1276 W 8th Street, Cincinnati, OH 45203",NS,-84.539387,39.10443312
Charolette,NC,"5710 West Boulevard, Charlotte, NC 28208",NS,-80.95697073,35.19683392
Columbus,OH,"3329 Thoroughbred Drive, Columbus, OH 43217",NS,-82.95532727,39.79169202
Croxton,NJ,"125 County Road, Jersey City, NJ 07307",NS,-74.066734,40.75582546
Charleston,SC,"4350 Goer Drive, N. Charleston, SC 29406",NS,-80.00191527,32.86882403
Decatur,IL,"3095 E Parkway Drive, Decatur, IL 62526",NS,-88.91199354,39.87081404
Detroit,MI,"8501 Fort Street, Detroit, MI 48209",NS,-83.12252,42.29857677
Elizabeth Marine Terminal,NJ,"Port Newark, Elizabeth City Marine Complex, Elizabeth, NJ 07201",NS,-74.206901,40.66002728
Greensboro,NC,"1105 Merritt Drive, Greensboro, NC 27407",NS,-79.85342127,36.05692022
GCT Bayonne,NJ,"51 Foot of Colony Rd, Jersey City, NJ 07305",NS,-74.082614,40.68114885
Savannah,GA,"3 North Main Street, Garden City, GA 31408",NS,-81.16714988,32.11999782
George Town,KY,"601 Cherry Blossom Way, Georgetown, KY 40324",NS,-84.54524727,38.27190154
Greer,SC,"100 International Commerce Blvd.,Greer, SC 29651",NS,-82.19805073,34.93313893
Harrisburg,PA,"3500 Industrial Road, Harrisburg, PA 17110",NS,-76.888873,40.30574555
Huntsville,AL,"2850 Wall Triana Hwy SW, Huntsville, AL 35824",NS,-86.76013373,34.6412936
Jacksonville,FL,"6098 Soutel Drive, Jacksonville, FL 32219",NS,-81.73075021,30.36907392
Chicago Landers,IL,"7540 S. Western Avenue, Chicago, IL 606207540 S. Western Avenue, Chicago, IL 60620",NS,-87.68441054,41.75586466
Detroit - Livernois,MI,"2725 Livernois Avenue, Detroit, MI 48209",NS,-83.11690626,42.32043604
Cleveland,OH,"5300 Greenhurst Drive, Maple Heights, OH 44137",NS,-81.57490803,41.41534285
Morrisville,PA,"98 Cabot Blvd. East, Langhorne, PA 19047",NS,-74.84460146,40.19088273
Norfolk International,VA,"7737 Hampton Blvd., Norfolk, VA 23505",NS,-76.32559952,36.9200351
Portsmouth APMT,VA,"2704 Josef Theurer Lane, Chesapeake, VA",NS,-76.26556927,36.80380427
Pittsburg,PA,"701 Wall Avenue Wall, PA 15148-1463",NS,-79.776753,40.39705951
Rossville,TN,"3000 Norfolk Southern Way, Rossville, TN 38066-1512",NS,-89.57715978,35.01369745
Rutherford,PA,"5050 Paxton Street, Harrisburg, PA 17111",NS,-76.79336593,40.25970111
Cincinnati - Sharonville,OH,"3155 E. Sharon Road, Sharonville, OH 45241",NS,-84.42372622,39.26439367
St. Louis,MO,"333 East Carrie Avenue, St. Louis, MO 63147",NS,-90.21177123,38.69017659
Taylor,PA,"P.O. Box 31, One Depot Street, Taylor, PA 18517",NS,-75.71193691,41.3846949
Toledo,OH,"2101 Hill Avenue, Toledo, OH 43607",NS,-83.59228546,41.63802573
Front Royal,VA,"Rt. 522 & 344 North, Front Royal, VA 22630",NS,-78.19344867,38.91713579
Kansas City,MO,"4800 North Kimball, Kansas City, MO 64161",NS,-94.4295922,39.18292586
Birmingham,AL,,,,